2018-12-13|04:00|04:52|PORANEK RADIA SZCZECIN|n_POD_PORANEK_08_fast|Agim Dżeljilji|Agim Dżeljilji||0:1:28|J. Brzostyński, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|04:53|PORANEK RADIA SZCZECIN|n_JRS_08_fast|Agim Dzeljilji|Agim Dzeljilji||0:0:12|Agim Dżeljilji, Aleksandra Warchoł|Agim Dzeljilji||
2018-12-13|04:00|04:53|PORANEK RADIA SZCZECIN|EVERYBODY'S CHANGING|RICE-OXLEY / CHAPLIN / HUGHES|RICE-OXLEY / CHAPLIN / HUGHES||0:3:33|KEANE|KEANE|ISLAND|
2018-12-13|04:00|04:57|PORANEK RADIA SZCZECIN|n_WH_SŁUCHASZ_03_m|Agim Dżeljilji|Agim Dżeljilji||0:0:5|Jacek Brzostyński|Agim Dżeljilji||
2018-12-13|04:00|04:57|PORANEK RADIA SZCZECIN|WIERNOŚĆ JEST NUDNA|Ania Dąbrowska/Kasia Piszek|Agnieszka Szypura||0:3:44|NATALIA KUKULSKA||EMI|
2018-12-13|04:00|05:01|PORANEK RADIA SZCZECIN|OCEAN DRIVE|Dyment/Ritson/Fabian/Aluo/Norton|Dyment/Ritson/Fabian/Aluo/Norton||0:3:24|DUKE DUMONT||UNIVERSAL|
2018-12-13|04:00|05:04|PORANEK RADIA SZCZECIN|n_WH_W DOMU_03_km|Agim Dżeljilji|Agim Dżeljilji||0:0:11|J. Brzostyński, A. Aleksandrowicz|Agim Dżeljilji||
2018-12-13|04:00|05:04|PORANEK RADIA SZCZECIN|TRUE FAITH|New Order, Stephen Hague|New Order, Stephen Hague||0:4:3|NEW ORDER||FACTORY|
2018-12-13|04:00|05:08|PORANEK RADIA SZCZECIN|n_POD_PORANEK_08_fast|Agim Dżeljilji|Agim Dżeljilji||0:2:14|J. Brzostyński, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|05:11|PORANEK RADIA SZCZECIN|n_JRS_08_fast|Agim Dzeljilji|Agim Dzeljilji||0:0:12|Agim Dżeljilji, Aleksandra Warchoł|Agim Dzeljilji||
2018-12-13|04:00|05:11|PORANEK RADIA SZCZECIN|Z CAŁYCH SIŁ|SZYMON CHODYNIECKI|SZYMON CHODYNIECKI||0:2:48|SZYMON CHODYNIECKI||SONY|
2018-12-13|04:00|05:13|PORANEK RADIA SZCZECIN|n_WH_PORANEK_02_km|Agim Dżeljilji|Agim Dżeljilji||0:0:6|J. Brzostyński, A. Aleksandrowicz|Agim Dżeljilji||
2018-12-13|04:00|05:13|PORANEK RADIA SZCZECIN|IN MY MIND|Leoni/Kingsley/Montagner/Di Agostino/|Soon/Sandrini/Forte/Gough||0:2:54|DYNORO & GIGI D'AGOSTINO||SONY|
2018-12-13|04:00|05:16|PORANEK RADIA SZCZECIN|X_NEWS_pogoda|Agim Dżeljilji|Agim Dżeljilji||0:0:24|A. Aleksandrowicz, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|05:17|PORANEK RADIA SZCZECIN|X_STRS_PORANEK_01|Agim Dzeljilji|Agim Dzeljilji||0:0:8|Agim Dżeljilji, Aleksandra Warchoł|Agim Dzeljilji||
2018-12-13|04:00|05:17|PORANEK RADIA SZCZECIN|A GDY JEST JUŻ CIEMNO|KUPICHA PIOTR|KUPICHA PIOTR||0:3:34|FEEL||EMI|
2018-12-13|04:00|05:20|PORANEK RADIA SZCZECIN|n_WH_RS_01_k|Agim Dżeljilji|Agim Dżeljilji||0:0:5|Agnieszka Aleksandrowicz|Agim Dżeljilji||
2018-12-13|04:00|05:20|PORANEK RADIA SZCZECIN|ALL STARS|Warner/Wade/Picandet|Warner/Wade/Picandet||0:2:45|MARTIN SOLVEIG FEAT. ALMA||VIRGIN EMI|
2018-12-13|04:00|05:23|PORANEK RADIA SZCZECIN|n_POD_PORANEK_07_med|Agim Dżeljilji|Agim Dżeljilji||0:1:17|J. Brzostyński, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|05:24|PORANEK RADIA SZCZECIN|n_JRS_07_med|Agim Dzeljilji|Agim Dzeljilji||0:0:13|Agim Dżeljilji, Aleksandra Warchoł|Agim Dzeljilji||
2018-12-13|04:00|05:24|PORANEK RADIA SZCZECIN|NADZIEJA|Piotr Łukaszewski|LESZEK MRÓZ||0:3:31|IRA||CD-Contact Grzegorz Jasiński|
2018-12-13|04:00|05:28|PORANEK RADIA SZCZECIN|P_KRAWAT 03|Di/Portal - "Digitoys"|PRS||0:0:53|Jacek Brzostyński|PRS / Szwaja W.||
2018-12-13|04:00|05:28|PORANEK RADIA SZCZECIN|n_NEWS_poleca|Agim Dżeljilji|Agim Dżeljilji||0:1:9|J. Brzostyński, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|05:30|PORANEK RADIA SZCZECIN|X_NEWS_pogoda|Agim Dżeljilji|Agim Dżeljilji||0:0:25|A. Aleksandrowicz, A. Dżeljilji|Agim Dżeljilji||
2018-12-13|04:00|05:30|PORANEK RADIA SZCZECIN|X_STRS_POD CHOINKĄ_01|Agim Dzeljilji|Agim Dzeljilji||0:0:9|Agim Dżeljilji, Aleksandra Warchoł|Agim Dzeljilji||
2018-12-13|04:00|05:30|PORANEK RADIA SZCZECIN|LOVE GENERATION|PINE / FRIANT / WISNIAK / SCHREINER|PINE / FRIANT / WISNIAK / SCHREINER||0:3:25|BOB SINCLAR FEAT. GARY PINE|BOB SINCLAR|YELLOW PRODUCTIONS|
2018-12-13|04:00|05:33|PORANEK RADIA SZCZECIN|n_WH_TO JEST_04_km|Agim Dżeljilji|Agim Dżeljilji||0:0:6|J. Brzostyński, A. Aleksandrowicz|Agim Dżeljilji||
2018-12-13|04:00|05:33|PORANEK RADIA SZCZECIN|RAJ|JUSTYNA ŚWIĘS, JAKUB KARAŚ|JUSTYNA ŚWIĘS, JAKUB KARAŚ||0:3:30|THE DUMPLINGS||WARNER|
2018-12-13|04:00|05:39|PORANEK RADIA SZCZECIN|FAMILY AFFAIR|BLIGE|BLIGE|ND|0:3:52|BLIGE MARY J|DR.DRE|MCA RECORDS|
